Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-17,tobesocial.de,http://www.tobesocial.de,info@tobesocial.de,,invalid,,,new
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-31,Find the Right Service Providers for Your Projects,https://feedbax.io,"info@feedbax.de, kontakt@feedbax.de, info@feedbax.ai",,invalid,,,new
2026-09-17,Media Manufacture Mannheim,https://mediamanufacturemannheim.de,hello@mediamanufacturemannheim.de,hello@mediamanufacturemannheim.de,catch_all,4370735,,new
2026-09-17,Nicarus,https://nicarus.de,info@nicarus.de,,invalid,221-4355,,new
2026-08-14,svaerm Online Marketing Frankfurt,https://svaerm.com,"hertel@svaerm.com, info@svaerm.com",,unverified,,,new
2026-09-17,wirkungswerk,https://wirkungswerk.de,kontakt@wirkungswerk.de,kontakt@wirkungswerk.de,catch_all,,,new
2026-09-17,TYPO3-Werbeagentur in Mannheim | ADVA Communication,https://www.adva.de,info@adva.de,,unverified,,,new
2026-09-17,imc marketing & consult,https://www.digitalagentur-ecommerce.de,info@imc-web.de,info@imc-web.de,valid,221 4310,,new
2026-08-14,DREIKON GmbH & Co. KG,https://www.dreikon.de,info@dreikon.de,info@dreikon.de,valid,251 - 3946896,,emailed
2026-09-17,hmf Werbeagentur & Digitalagentur Mannheim,https://www.hmf-group.com,"hmfgmbh@hmf-group.com, info@hmf-group.com",,invalid,621 4016,,new
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
2026-09-17,SUNRISE DIGITAL®,https://www.sunrise-web.de,"hello@sunrise-digital.de, sdm@sunrise-digital.group",,unverified,221 4165620,,new
