Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-19,Hog The Web,https://hogtheweb.com,"%20info@hogtheweb.com, example@domain.com, support@hogtheweb.com, info@hogtheweb.com","%20info@hogtheweb.com, support@hogtheweb.com, info@hogtheweb.com, example@domain.com",catch_all,,,new
2026-08-19,Milwaukee Web Design®,https://milwaukee-webdesigner.com,brian@milwaukee-webdesigner.com,brian@milwaukee-webdesigner.com,valid,(262) 364-9927,,new
2026-08-16,OneLittleWeb,https://onelittleweb.com,hello@onelittleweb.com,hello@onelittleweb.com,catch_all,+1 646 401 0020,,new
2026-08-13,Scottmax.com,https://scottmax.com,partners@scottmax.com,partners@scottmax.com,valid,,,emailed
2026-08-19,#1 Web Design And Development Services - SliderShift,https://slidershift.com,info@slidershift.com,,invalid,(213)4014513,,new
2026-08-19,SocialSurge Marketing,https://socialsurgemarketing.com,info@socialsurgemarketing.com,info@socialsurgemarketing.com,valid,(414) 367-7155,,new
2026-08-19,Find Top Software Companies & Agencies | TopTechAgencies.com,https://toptechagencies.com,"you@company.com, hello@tkxel.com",hello@tkxel.com,catch_all,,,new
2026-08-19,White Label SEO Service,https://whitelabelseoservice.com,"hafizar@whitelabelseoservice.com, supportl@whitelabelseoservice.com, support@whitelabelseoservice.com, info@whitelabelseoservice.com",,unverified,424-788-5360,,new
2026-08-19,DesignsTouch,https://www.designstouch.com,info@designstouch.com,info@designstouch.com,valid,(262) 417-7044,,new
2026-08-13,Krowdbase,https://www.krowdbase.com,team@krowdbase.com,team@krowdbase.com,catch_all,,,emailed
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-13,SEOlium Rank Tracker - Professional Google Rank Tracker for SEO,https://www.seolium.com,info@seolium.com,,invalid,"500 
 5000",,new
