Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-17,Creatif Agency,https://creatif.agency,contact@creatif.agency,contact@creatif.agency,valid,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-15,Monthly Web Design,https://monthlywebdesign.com,"your@email.com, hello@monthlywebdesign.com",,unverified,7314908,,new
2026-08-14,Vincency,https://vincency.com,"ihre.email@unternehmen.de, info@vincency.com",,unverified,1522 3357888,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,emailed
2026-08-14,DREIKON GmbH & Co. KG,https://www.dreikon.de,info@dreikon.de,info@dreikon.de,valid,251 - 3946896,,emailed
2026-08-29,INSYNC™,https://www.in-sync.io,"max.mustermann@email.com, hello@in-sync.io, nhello@in-sync.io, robertsiemens@in-sync.io","hello@in-sync.io, robertsiemens@in-sync.io",valid,1522 8453675,,new
2026-08-29,Jung von Matt,https://www.jvm.com,"newbusiness@jvm.com, info@jvm.com, presse@jvm.com",,unverified,,,new
2026-08-13,Krowdbase,https://www.krowdbase.com,team@krowdbase.com,team@krowdbase.com,catch_all,,,emailed
2026-08-29,PHOENIX Design | Innovative Product Design Studio,https://www.phoenixdesign.com,"bsi@phoenixdesign.com, xso@phoenixdesign.com, shanghai@phoenixdesign.com, lli@phoenixdesign.com, adi@phoenixdesign.com",,unverified,,,new
2026-08-13,Semrush,https://www.semrush.com,mail@semrush.com,,invalid,,,new
2026-08-14,Sortlist,https://www.sortlist.de,"janedoe@acme.com, jane.doe@acme.com, info@iseo.de, kunde@unternehmen.de",info@iseo.de,catch_all,,,emailed
2026-08-29,WongDoody,https://www.wongdoody.com,"webnotify.general@wongdoody.com, webnotify.newbusiness@wongdoody.com, webnotify.talent@wongdoody.com, webnotify.pr@wongdoody.com",,unverified,,,new
