Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-16,Full Circle Web,https://fullcircleweb.ca,hello@fullcircleweb.ca,,invalid,,,new
2026-08-16,Stand Out Online Marketing Inc.,https://standoutonline.ca,info@standoutonline.ca,info@standoutonline.ca,valid,(778) 918-3121,,new
2026-08-13,"Finding the best business, It's that easy - ThreeBestRated.ca",https://threebestrated.ca,"support@threebestrated.ca, press@threebestrated.com, reviews@threebestrated.ca","support@threebestrated.ca, reviews@threebestrated.ca, press@threebestrated.com",valid,,,emailed
2026-08-13,TML Agency,https://townmedialabs.ca,"you@company.com, hello@townmedialabs.ca, info@townmedialabs.ca",,unverified,+1 (403) 604-8692,,new
2026-08-16,Victoria Web Designers,https://victoriawebdesigners.ca,info@webmax.ca,info@webmax.ca,catch_all,250-217-5340,,new
2026-08-16,Web321: Your Best WordPress Support,https://web321.co,"conductor@web321.co, dewolfe@web321.co, contact@web321.co, clientcare@web321.co",,unverified,,,new
2026-08-16,BONE Creative,https://www.bonecreative.com,"info@bonecreative.com, testing@tyky.htr",info@bonecreative.com,valid,,,new
2026-08-16,Caorda Web Solutions,https://www.caorda.com,"info@caorda.com, support@caorda.com",,unverified,+1.250.598.6772,,new
2026-08-16,IdeaZone.ca,https://www.ideazone.ca,jon@ideazone.ca,jon@ideazone.ca,catch_all,250.514.9333,,new
2026-08-13,Nirvana Canada,https://www.nirvanacanada.com,success@nirvanacanada.com,,invalid,604.595.2495,,new
2026-08-16,OpalWave Digital — Web Design and Technical Support in Canada,https://www.opalwavedigital.ca,"info@opalwavedigital.ca, your@email.com",,unverified,,,new
2026-08-16,Radar Hill Website Design & Marketing,https://www.radarhill.com,info@radarhill.com,,unverified,250.477.6395,,new
2026-08-16,RWL2026,https://www.rocketweblabs.com,info@rocketweblabs.com,info@rocketweblabs.com,valid,,,new
2026-08-16,SquareX • Web Design & Marketing in Victoria BC Canada,https://www.squarex.ca,info@squarex.ca,info@squarex.ca,valid,(250) 984-4318,,new
2026-08-16,Zeal Media Inc,https://zealmedia.ca,sales@zealmedia.ca,,unverified,,,new
