Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-14,Ankit Designs,https://ankitdesigns.com,hello@ankitdesigns.com,hello@ankitdesigns.com,valid,,,emailed
2026-08-17,Canada Web Pro | Professional Web Design Across Canada,https://canadawebpro.ca,info@canadawebpro.ca,,invalid,,,new
2026-08-13,Canadian Web Agencies,https://canadianwebagencies.com,recommendations@canadianwebagencies.com,,unverified,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-25,GraphixFlo,https://graphixflo.com,"you@company.ca, info@graphixflo.com",info@graphixflo.com,valid,905-745-3546,,new
2026-08-25,Hamilton Web Designer,https://hamiltonwebdesigner.ca,studio@hamiltonwebdesigner.ca,,invalid,905-818-7885,,new
2026-08-25,Hayes Web,https://hayesweb.ca,curt@hayesweb.ca,curt@hayesweb.ca,catch_all,905-512-4266,,new
2026-08-14,Magenta Design,https://magentadesign.ca,hello@magentadesign.ca,,invalid,905-882-3145,,new
2026-08-13,Momentum360 Digital Marketing,https://momentum360.ca,info@momentum360.ca,info@momentum360.ca,catch_all,519-900-2717,,emailed
2026-08-13,TML Agency,https://townmedialabs.ca,"you@company.com, hello@townmedialabs.ca, info@townmedialabs.ca",,unverified,+1 (403) 604-8692,,new
2026-08-17,True North Web Design,https://truenorthwebdesign.ca,info@truenorthwebdesign.ca,,unverified,416-797-3407,,new
2026-08-25,101 Keys Website Design and Digital Marketing,https://www.101keys.ca,info@101keys.ca,info@101keys.ca,valid,(289) 780-8880,,new
2026-08-25,#1 Digital Marketing Agency in Hamilton | Web Designers,https://www.ballamedia.ca,amazingservice@ballamedia.ca,amazingservice@ballamedia.ca,valid,905.572.7474,,new
2026-08-13,Bernum,https://www.bernum.ca,"you@company.com, info@bernum.ca",info@bernum.ca,catch_all,+1 519-804-6156,,emailed
2026-08-25,CRFT Studio | Marketing Sites Built to Convert,https://www.crft.studio,jeremy@crft.studio,jeremy@crft.studio,catch_all,,,new
2026-08-25,Life Web & Design Inc.,https://www.lifewebanddesign.com,info@lifewebanddesign.com,info@lifewebanddesign.com,catch_all,(416) 710-8660,,new
2026-08-25,"Custom Website Design Hamilton, Canada & USA",https://www.vision-design.net,info@vision-design.net,,unverified,(905) 297-1677,,new
