Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-17,Canada Web Pro | Professional Web Design Across Canada,https://canadawebpro.ca,info@canadawebpro.ca,,invalid,,,new
2026-08-17,Duck Design,https://duck.design,contact@duck.design,contact@duck.design,catch_all,+1 267 799 1800,,emailed
2026-08-30,Exotica IT Solutions,https://exoticaitsolutions.com,"john@gmail.com, info@exoticaitsolutions.com",,unverified,+1 (431)600-3626,,new
2026-08-13,Momentum360 Digital Marketing,https://momentum360.ca,info@momentum360.ca,info@momentum360.ca,catch_all,519-900-2717,,emailed
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-08-19,Techreviewer - Best Software Companies Ratings & Reviews,https://techreviewer.co,support@techreviewer.co,support@techreviewer.co,catch_all,,,emailed
2026-08-13,Toronto SEO,https://torontoseo.com,"you@company.com, info@torontoseo.com, jane@company.com, hello@torontoseo.com, martin@torontoseo.com",,unverified,(437) 900-3626,,new
2026-08-30,Critical Mass | Digital Experience Design & Marketing Agency,https://www.criticalmass.com,"newbusiness@criticalmass.com, pr@criticalmass.com","newbusiness@criticalmass.com, pr@criticalmass.com",valid,,,new
2026-08-30,Pentagram,https://www.pentagram.com,"newyork@pentagram.com, info@pentagram.de, austin@pentagram.com, london@pentagram.com","newyork@pentagram.com, austin@pentagram.com, london@pentagram.com",valid,"999
                                 
 
 
 
 
 
 
 
 
                                    1998",,new
2026-08-16,Right Firms,https://www.rightfirms.co,info@rightfirms.co,info@rightfirms.co,valid,,,emailed
2026-08-20,Web Design London,https://www.web-designlondon.co.uk,"info@reactivegraphics.co.uk, projects@reactivegraphics.co.uk",,invalid,,,new
