Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-13,Web Design Agencies,https://designagenciesdir.com,"contact@southerndigitalconsulting.com, info@hortongroup.com, info@clickrain.com, support@m16marketing.com, brett@rhinopm.com, hello@lemonheaddesign.com, hello@grainandmortar.com, info@robintek.com, info@pixelperfectcreative.com","contact@southerndigitalconsulting.com, info@hortongroup.com, info@clickrain.com, support@m16marketing.com, brett@rhinopm.com, hello@lemonheaddesign.com, hello@grainandmortar.com, info@pixelperfectcreative.com",valid,(800) 676-0175,,new
2026-08-13,Home,https://dovemountainmarketing.com,inquires@dovemountainmarketing.com,,invalid,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-13,Jen Chapman Creative,https://jenchapmancreative.com,jenrchapman@gmail.com,jenrchapman@gmail.com,valid,623-476-7394,,new
2026-08-13,NUOPTIMA,https://nuoptima.com,"jane@yourmsp.com, goce@nuoptima.com",goce@nuoptima.com,valid,4407366,,new
2026-08-13,Perceptric | B2B SaaS SEO Agency,https://perceptric.com,"admin@perceptric.com, vincent@perceptric.com",,invalid,,,new
2026-08-13,SelectedFirms - Trusted B2B Agency Ratings & Reviews Platform,https://selectedfirms.co,info@selectedfirms.co,info@selectedfirms.co,valid,,,new
2026-08-13,Sermondo,https://sermondo.com,support@sermondo.com,support@sermondo.com,catch_all,,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-13,The #1 HubSpot Website Agency | We Specialise in HubSpot Websites,https://www.blendb2b.com,info@blendb2b.com,,invalid,,,new
2026-08-13,Designjoy - Design as a Subscription,https://www.designjoy.co,hello@designjoy.co,,invalid,,,new
2026-08-13,Digital Roots Media,https://www.digitalrootsmedia.com,hello@digitalrootsmedia.com,hello@digitalrootsmedia.com,catch_all,,,new
2026-08-13,DigitalSilk,https://www.digitalsilk.com,info@digitalsilk.com,,invalid,(800) 206-9413,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,new
2026-08-13,GraphicDigits,https://www.graphicdigits.com,"hello@graphicdigits.com, john@company.com",,unverified,,,new
2026-08-13,LYFE Marketing,https://www.lyfemarketing.com,info@lyfemarketing.com,info@lyfemarketing.com,valid,404-596-7925,,new
2026-08-13,Mint Media,https://www.mintmediaservices.com,info@mintmediaservices.com,info@mintmediaservices.com,catch_all,+1 (438) 797-7319,,new
2026-08-13,Net-Craft.com,https://www.net-craft.com,connect@netcraftmedia.com,connect@netcraftmedia.com,catch_all,1-877-638-2723,,new
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-13,Semrush,https://www.semrush.com,mail@semrush.com,,invalid,,,new
2026-08-13,SEOlium Rank Tracker - Professional Google Rank Tracker for SEO,https://www.seolium.com,info@seolium.com,,invalid,"500 
 5000",,new
