Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-29,Overland Park Chamber of Commerce,https://business.opchamber.org,"opcc@opchamber.org, curt.skoog@opkansas.gov",,unverified,913.491.3600,,new
2026-08-29,Website Designer in Kansas City,https://greentie.com,support@greentie.com,,invalid,,,new
2026-08-29,Lifted Logic,https://liftedlogic.com,"info@liftedlogic.com, accounting@liftedlogic.com","info@liftedlogic.com, accounting@liftedlogic.com",valid,816.298.7018,,new
2026-08-13,REVERB | Full Service Marketing,https://reverbico.com,david@reverbico.com,david@reverbico.com,catch_all,+1 507-923-6723,,emailed
2026-08-29,Social Managed,https://socialmanaged.com,socialmanagedkc4@gmail.com,socialmanagedkc4@gmail.com,valid,(866) 324-9700,,new
2026-08-29,Best In KC,https://www.bestinkc.com,user@domain.com,,invalid,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-29,"Internet Design & Publishing, Inc.",https://www.goidp.com,info@goidp.com,,invalid,816-808-6846,,new
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-29,Straight Line Web Solutions,https://www.straightlinewebsolutions.com,info@straightlinewebsolutions.com,info@straightlinewebsolutions.com,valid,(816) 678-0385,,new
2026-08-13,Strottner Designs,https://www.strottner.com,support@strottner.com,,invalid,(210) 588-9602,,new
2026-08-29,XTAPPS,https://xtapps.us,"hr@xtapps.com, marketing@xtapps.us",,unverified,6363368404,,new
