Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-16,Cornerstone Web Studio,https://cornerstone.studio,"changes@cornerstone.studio, britt@cornerstone.studio, hello@cornerstone.studio","changes@cornerstone.studio, britt@cornerstone.studio, hello@cornerstone.studio",catch_all,503.512.8333,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-15,Find agencies and freelancers that do great work - Great Work Guild,https://greatworkguild.com,"veronica@stirlingbrandworks.com, info@murmurcreative.com","veronica@stirlingbrandworks.com, info@murmurcreative.com",catch_all,,,new
2026-08-15,knowtive,https://knowtive.com,healthchanging@gmail.com,healthchanging@gmail.com,valid,,,new
2026-08-15,Sproutbox,https://sproutbox.co,"_@astro.de, hello@sproutbox.co","_@astro.de, hello@sproutbox.co",catch_all,503.610.3560,,new
2026-08-16,AVIBE,https://www.avibeweb.com,contact@avibeweb.com,contact@avibeweb.com,valid,503.296.8499,,new
2026-08-16,Gravitate Design,https://www.gravitatedesign.com,"service@gravitatedesign.com, hello@gravitatedesign.com","service@gravitatedesign.com, hello@gravitatedesign.com",catch_all,,,new
2026-08-13,Krowdbase,https://www.krowdbase.com,team@krowdbase.com,team@krowdbase.com,catch_all,,,emailed
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-16,Portland Web Design,https://www.portlandwebdesign.com,support@portlandwebdesign.com,support@portlandwebdesign.com,valid,(503) 343-5665,,new
2026-08-16,Salt Creative | Web Design For Small Business,https://www.sltcreative.com,"hello@sltcreative.com, info@sltcreative.com","hello@sltcreative.com, info@sltcreative.com",catch_all,,,new
2026-08-16,Home,https://www.soliddigital.com,"diana.martinez@soliddigital.com, jesse.mccabe@soliddigital.com","diana.martinez@soliddigital.com, jesse.mccabe@soliddigital.com",catch_all,,,new
2026-08-13,UFO Digital Marketing Agency,https://www.uforocks.com,hello@www.uforocks.com,,unverified,(513) 549-7355,,new
