Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-29,ALVÉRA Global Agency,https://agency.alveraluxe.com,"agency@alveraluxe.com, name@firma.de","agency@alveraluxe.com, name@firma.de",catch_all,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-08-18,Top Hat,https://tophat.com,"receivables@tophat.com, receivables@tophat.comaccounts, sales@tophat.com, press@tophat.compartnerships, press@tophat.com, partnerships@tophat.comtop, bookstore@tophat.com, bookstore@tophat.comaccounts, partnerships@tophat.com, payables@tophat.com","receivables@tophat.com, sales@tophat.com, press@tophat.com, bookstore@tophat.com, partnerships@tophat.com, payables@tophat.com",valid,,,emailed
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-21,Billboard,https://www.billboard.com,"service.na@gettyimages.com, pmc@wrightsmedia.com, billboard@theygsgroup.com",,invalid,,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-09-13,Welcome to Hamburg (Germany) – Official tourism office,https://www.hamburg-travel.com,"u003eservice@hamburg-travel.de, service@hamburg-travel.de",service@hamburg-travel.de,valid,,,new
2026-09-13,"hamburg.com – Your Guide to Exploring, Living & Working in Hamburg",https://www.hamburg.com,"markenservice@marketing.hamburg.de, pressestelle@sk.hamburg.de",,unverified,,,new
2026-08-18,Merriam-Webster: America's Most Trusted Dictionary,https://www.merriam-webster.com,325506e3332d487999567a7bc91d151d@bug-reporting-xalgha6.m-w.com,,unverified,,,new
2026-08-14,siliconinfo,https://www.siliconinfo.com,"info@siliconinfo.com, hr@siliconinfo.com","info@siliconinfo.com, hr@siliconinfo.com",valid,+1 (415) 843 2344,,emailed
2026-08-17,studio tülü | Design Studio Hamburg & Dortmund,https://www.studiotulu.com,"contact@studiotulu.com, anne@studiotulu.com, katharina@studiotulu.com, wiebke@studiotulu.com","contact@studiotulu.com, anne@studiotulu.com, katharina@studiotulu.com, wiebke@studiotulu.com",valid,,,emailed
2026-08-15,Toptal - Hire Freelance Talent from the Top 3%,https://www.toptal.com,"steve.schirr@toptal.com, partners@toptal.com, press@toptal.com, support@toptal.com, investors@toptal.com","steve.schirr@toptal.com, partners@toptal.com, press@toptal.com, support@toptal.com, investors@toptal.com",catch_all,,,emailed
