Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-13,Canadian Web Agencies,https://canadianwebagencies.com,recommendations@canadianwebagencies.com,,unverified,,,new
2026-09-14,Grand River Web Design | Kitchener / Waterloo Web Design,https://grandriverwebdesign.com,devan@grandriverwebdesign.com,,unverified,(519) 894-6033,,new
2026-08-13,ICS Creative Agency,https://icscreativeagency.com,info@icscreativeagency.com,info@icscreativeagency.com,catch_all,,,emailed
2026-09-14,Mendel Sites,https://mendelsites.com,sam@mendelsites.com,sam@mendelsites.com,valid,(416) 904-4760,,new
2026-08-30,RevenueBase | B2B Data Infrastructure to Grow Your Business,https://revenuebase.ai,sales@revenuebase.ai,sales@revenuebase.ai,catch_all,,,new
2026-08-13,TML Agency,https://townmedialabs.ca,"you@company.com, hello@townmedialabs.ca, info@townmedialabs.ca",,unverified,+1 (403) 604-8692,,new
2026-08-17,True North Web Design,https://truenorthwebdesign.ca,info@truenorthwebdesign.ca,,unverified,416-797-3407,,new
2026-09-14,Webapps4u,https://webapps4u.com,sales@webapps4u.com,,unverified,+1 (519) 502-9863,,new
2026-08-18,Montreal Web Design Company | Pearl White Media Developer,https://www.pearlwhitemedia.com,info@pearlwhitemedia.com,info@pearlwhitemedia.com,catch_all,(514) 945-5552,,emailed
