Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-31,Chariot,https://chariotcreative.com,hello@chariotcreative.com,hello@chariotcreative.com,valid,919-818-1181,,new
2026-09-01,CH Web Agency,https://chwebagency.com,create@chwebagency.com,create@chwebagency.com,catch_all,984 528 0106,,new
2026-08-31,Digital Engage,https://digitalengage.net,help@digitalengage.net,help@digitalengage.net,catch_all,423-397-2467,,new
2026-09-01,Doug Brown Design,https://dougbrowndesign.com,dbrown@dougbrowndesign.com,,unverified,919.264.0042,,new
2026-09-01,Faith Performance Group,https://faithperformancegroup.com,carlos@faithperformancegroup.com,carlos@faithperformancegroup.com,valid,(910) 213-3983,,new
2026-09-01,Instinctive Branding,https://instinctivebranding.com,"info@instinctivebranding.com, tobi@instinctivebranding.com","info@instinctivebranding.com, tobi@instinctivebranding.com",catch_all,919.295.3671,,new
2026-09-10,KWALL DESIGN WPE,https://kwalldesign.com,info@kwalldesign.com,info@kwalldesign.com,valid,,,new
2026-08-13,NEWMEDIA.COM,https://newmedia.com,"support@newmedia.com, hello@newmedia.com","support@newmedia.com, hello@newmedia.com",catch_all,(212) 220-6200,,emailed
2026-09-01,Seven Ages Design,https://sevenagesdesign.com,info@sevenagesdesign.com,info@sevenagesdesign.com,valid,(919) 589 3655,,new
2026-08-18,"Digital Marketing Agency in Lagos, Nigeria",https://socialander.com,info@socialander.com,info@socialander.com,valid,,,emailed
2026-09-01,Think Designs,https://thinkdesignsllc.com,info@thinkdesignsllc.com,info@thinkdesignsllc.com,valid,919-606-1339,,new
2026-08-13,Print & Marketing Solutions | AlphaGraphics Corporate,https://www.alphagraphics.com,agsupport@alphagraphics.com,agsupport@alphagraphics.com,catch_all,800.955.6246,,emailed
2026-09-01,Appnet New Media Studio,https://www.appnet.com,mike@appnet.com,mike@appnet.com,catch_all,(828) 963-7286,,new
2026-09-10,"Atlantic Business Technologies, Inc.",https://www.atlanticbt.com,hello@atlanticbt.com,hello@atlanticbt.com,valid,+1.919.518.0670,,new
2026-08-13,Digital Piloto - Best Digital Marketing Consultancy Firm,https://www.digitalpiloto.com,"hr@digitalpiloto.com, info@digitalpiloto.com","hr@digitalpiloto.com, info@digitalpiloto.com",catch_all,326 9794,,emailed
2026-08-13,UI UX Design Agency for AI Startups and SaaS | ParallelHQ,https://www.parallelhq.com,jane@company.com,,unverified,,,new
2026-08-15,TheeDigital,https://www.theedigital.com,sales@theedigital.com,sales@theedigital.com,valid,919-341-8901,,emailed
