Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-22,Bootstrap Creative,https://bootstrapcreative.com,info@bootstrapcreative.com,info@bootstrapcreative.com,catch_all,(586) 894-8024,,new
2026-09-09,Campbell Ewald,https://c-e.com,campbell.ewald@c-e.com,campbell.ewald@c-e.com,catch_all,,,new
2026-08-18,Jack Morton | Global Brand Experience Agency,https://jackmorton.com,experience@jackmorton.com,,invalid,,,new
2026-09-09,McCann Detroit,https://mccanndetroit.com,"newbizdetroit@mccann.com, detroit@mccann.com","newbizdetroit@mccann.com, detroit@mccann.com",catch_all,248 203 8000,,new
2026-08-13,10SEOS,https://www.10seos.com,info@10seos.com,info@10seos.com,catch_all,,,emailed
2026-08-25,Agency Source | Find Producers & Creatives,https://www.agencysource.tv,mail@agencysource.tv,mail@agencysource.tv,valid,+1 347-767-4245,,new
2026-09-09,Daniel Brian Advertising | Full Service Marketing Agency,https://www.danielbrian.com,create@thealchemists.co,create@thealchemists.co,catch_all,248.601.5222,,new
2026-08-13,Your Creative Services Team Led By Creative Directors - Designity,https://www.designity.com,support@designity.com,support@designity.com,valid,+1 (917) 634-3407,,emailed
2026-09-09,Sortlist,https://www.sortlist.us,"u003eadvertise@influasia.com, janedoe@acme.com, info@ajmarketing.io, jane.doe@acme.com","u003eadvertise@influasia.com, info@ajmarketing.io",catch_all,,,new
2026-08-13,UFO Digital Marketing Agency,https://www.uforocks.com,hello@www.uforocks.com,,unverified,(513) 549-7355,,new
