Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-19,Devluxme Design & Marketing,https://devluxme.com.au,info@devluxme.com.au,,unverified,"456 519 
 0452",,new
2026-08-14,Digital Surfer,https://digitalsurfer.com.au,"success@digitalsurfer.com.au, ryan@digitalsurfer.com.au, peter@digitalsurfer.com.au","success@digitalsurfer.com.au, ryan@digitalsurfer.com.au, peter@digitalsurfer.com.au",valid,609 8869,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-13,Realweb Website Design,https://realweb.com.au,admin@realweb.com.au,,unverified,891 5552,,new
2026-08-19,Region Canberra,https://region.com.au,"editor@region.com.au, careers@region.com.au","editor@region.com.au, careers@region.com.au",valid,,,new
2026-08-14,Web Designers Australia,https://webdesignersaustralia.com.au,"info@webdesignersaustralia.com.au, info@ennovativewebdesign.com.au",info@ennovativewebdesign.com.au,valid,,,new
2026-08-14,Chromatix Web Design,https://www.chromatix.com.au,hello@chromatix.com.au,hello@chromatix.com.au,catch_all,912 6403,,new
2026-08-19,Designpluz,https://www.designpluz.com.au,projects@designpluz.com.au,projects@designpluz.com.au,catch_all,829 9881,,new
2026-08-13,Edvido,https://www.edvido.com,info@edvido.com,info@edvido.com,catch_all,,,emailed
2026-08-13,Krowdbase,https://www.krowdbase.com,team@krowdbase.com,team@krowdbase.com,catch_all,,,emailed
2026-08-14,White Peak Digital,https://www.whitepeakdigital.com,"careers@whitepeakdigital.com, contact@whitepeakdigital.com","careers@whitepeakdigital.com, contact@whitepeakdigital.com",valid,,,new
2026-08-19,Zenneo Design,https://zenneo.com,"your@email.com, info@zenneo.com.au, info@zenneo.com",,unverified,,,new
