Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-09-06,DesignX - Design subscriptions to scale your business.,https://designx.co,contact@design-x.co,contact@design-x.co,valid,,,new
2026-09-06,"Boise Web Design, SEO & Google Ads | Fierce Island",https://fierceisland.com,info@fierceisland.com,info@fierceisland.com,catch_all,+1 208-314-4423,,new
2026-09-06,Idaho Style,https://idaho-style.com,"info@idaho-style.com, hello@idaho-style.com","info@idaho-style.com, hello@idaho-style.com",catch_all,,,new
2026-09-06,Idaho Websites,https://idahowebsites.com,id_web_slide1@72x-100.avif,,invalid,208-342-9386,,new
2026-08-22,Kea Devs,https://keadevs.com,hello@keadevs.com,,invalid,,,new
2026-09-06,Boise SEO Services | Affordable Local SEO Services,https://pear21073424.sitepreviewpro.com,hey@morningdove.co,hey@morningdove.co,valid,208-877-3131,,new
2026-08-18,"Worldmetrics – Proprietary Data, Verified End-to-End",https://worldmetrics.org,info@worldmetrics.org,info@worldmetrics.org,catch_all,,,emailed
2026-09-06,BOISE WEB,https://www.boiseweb.net,"contact@boiseweb.net, sales@boiseweb.net",,invalid,208-514-2556,,new
2026-08-16,Salt Creative | Web Design For Small Business,https://www.sltcreative.com,"hello@sltcreative.com, info@sltcreative.com","hello@sltcreative.com, info@sltcreative.com",catch_all,,,emailed
2026-09-06,Thrive Web Designs™,https://www.thrivewebdesigns.com,info@thrivewebdesigns.com,info@thrivewebdesigns.com,catch_all,208.391.2504,,new
