Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,BragDeal Inc.,https://bragdeal.com,"support@bragdeal.com, info@bragdeal.com","support@bragdeal.com, info@bragdeal.com",catch_all,+1 844 604 2724,,emailed
2026-08-13,"Forge and Smith | Vancouver Web Design, Development & SEO",https://forgeandsmith.com,contact@forgeandsmith.com,contact@forgeandsmith.com,catch_all,,,emailed
2026-08-13,helloDarwin,https://hellodarwin.com,"clients@hellodarwin.com, info@hellodarwin.com","clients@hellodarwin.com, info@hellodarwin.com",catch_all,,,emailed
2026-08-19,Techreviewer - Best Software Companies Ratings & Reviews,https://techreviewer.co,support@techreviewer.co,support@techreviewer.co,catch_all,,,new
2026-08-13,Vancity Web Design,https://vancitywebdesign.com,"info@vancitywebdesign.com, bluebsupport@mail.com, infovancitywebdesign@gmail.com","info@vancitywebdesign.com, infovancitywebdesign@gmail.com",valid,+1-604-761-5979,,emailed
2026-08-13,Nirvana Canada,https://www.nirvanacanada.com,success@nirvanacanada.com,,invalid,604.595.2495,,new
2026-08-13,Studiothink,https://www.studiothink.com,hello@studiothink.com,hello@studiothink.com,valid,604 576 4433,,emailed
2026-09-05,UMW,https://www.umwmedia.com,info@umwmedia.com,info@umwmedia.com,valid,3489074,,new
2026-08-31,Unique Web Development,https://www.uniquewebdevelopment.com,info@uniquewebdevelopment.com,info@uniquewebdevelopment.com,valid,604-285-9595,,new
2026-09-05,"WittyCookie | SEO Vancouver - WittyCookie is a Vancouver Web Design & SEO Company that specializes in SEO, PPC, Website Design, Content Marketing, Analytics and Lead Generation. Call 1-888-936-3653!",https://www.wittycookie.ca,info@wittycookie.com,info@wittycookie.com,catch_all,(888) 936-3653,,new
