Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-25,Black Flag Creative,https://blackflagcreative.com,ahoy@blackflagcreative.com,ahoy@blackflagcreative.com,catch_all,(213) 394-0069,,new
2026-08-15,Blacksmith,https://blacksmith.agency,info@blacksmith.agency,info@blacksmith.agency,catch_all,(855) 255 - 7585,,emailed
2026-08-16,Coalition Technologies,https://coalitiontechnologies.com,sales@coalitiontechnologies.com,sales@coalitiontechnologies.com,catch_all,(310) 827-3890,,new
2026-08-17,Creatif Agency,https://creatif.agency,contact@creatif.agency,contact@creatif.agency,valid,,,new
2026-08-13,DuckDuckGo,https://duckduckgo.com,"shield-boom-light@3x.webp, shield-boom-dark@3x.avif, shield-boom-light@3x.avif, career-dark@3x.avif, take-control-light@3x.webp, career-dark@3x.webp, take-control-dark@3x.avif, career-light@3x.avif, shield-boom-dark@3x.webp, career-light@3x.webp, take-control-dark@3x.webp, take-control-light@3x.avif",,invalid,,,new
2026-08-13,ITProfiles,https://itprofiles.com,support@itprofiles.com,,unverified,,,new
2026-08-13,Evoke Studio,https://madebyevoke.com,"you@company.com, work@madebyevoke.com",,unverified,,,new
2026-08-13,NEWMEDIA.COM,https://newmedia.com,"support@newmedia.com, hello@newmedia.com","support@newmedia.com, hello@newmedia.com",catch_all,(212) 220-6200,,emailed
2026-08-16,OneLittleWeb,https://onelittleweb.com,hello@onelittleweb.com,hello@onelittleweb.com,catch_all,+1 646 401 0020,,new
2026-08-13,Wadline,https://wadline.com,"plegowebdesign@gmail.com, your@email.com, info@sisols.com, info@wadline.com, contact@company.com, contact@yourcompany.com, yuri.kitin@effective-soft.com, u003einfo@wadline.com",plegowebdesign@gmail.com,valid,,,emailed
2026-08-13,Your Creative Services Team Led By Creative Directors - Designity,https://www.designity.com,support@designity.com,support@designity.com,valid,+1 (917) 634-3407,,emailed
2026-08-13,DigitalSilk,https://www.digitalsilk.com,info@digitalsilk.com,,invalid,(800) 206-9413,,new
2026-08-25,Web Design Company,https://www.ladesignstudio.com,"mail4@ladesignstudio.com, mail3@ladesignstudio.com, ericjonesmyemail@gmail.com, 4@ladesignstudio.com, deepkar.seo@gmail.com, mail2@ladesignstudio.com, raulmartinez8950@outlook.com, mail4@ladesignstudio.commail",deepkar.seo@gmail.com,valid,(213) 292-9230,,new
2026-08-17,IT Development Company & Software Solutions | Purrweb,https://www.purrweb.com,"hi@purrweb.com, u003ehi@purrweb.com",,invalid,,,new
2026-08-25,Webflow Agency | RSA Creative Studio | Design & Development,https://www.rsacreativestudio.com,hello@rsacreativestudio.com,,invalid,,,new
2026-08-25,SPINX Digital -,https://www.spinxdigital.com,hello@spinxdigital.com,hello@spinxdigital.com,valid,213.894.9933,,new
2026-08-25,Stellen Design,https://www.stellendesign.com,contact@stellendesign.com,contact@stellendesign.com,catch_all,,,new
